id,date,type,amount,category,concept,ref_type,ref_id,client_id,notes,archived,deleted
T49,2025-11-25,income,50,Ventas,Llaveros Asador,,,CL12,WhatsApp + historial,,
T50,2025-11-25,income,1.5,Ventas,Llavero Jesús Ramos,,,CL24,WhatsApp + historial,,
T51,2025-12-06,income,45,Ventas,Litopane Ester (cuadros),,,CL25,WhatsApp «Ester cuadros»; no CL1 Ester Pollos,,
T52,2025-12-08,income,10,Ventas,Lightbox Stranger Things,,,CL25,WhatsApp «ester stranger»,,
T53,2025-12-10,income,20,Ventas,Bola Angel,,,CL23,WhatsApp «Rocío bola ángel»,,
T54,2025-12-10,income,8,Ventas,Llaveros nombres Rocío,,,CL23,WhatsApp + historial,,
T55,2025-12-20,income,20,Ventas,Litopane Emilio,,,CL26,historial,,
T56,2025-12-25,income,14,Ventas,Ovejas,,,CL42,WhatsApp «compa Rocío ovejas»,,
T57,2025-12-28,income,35,Ventas,Pastorcillos,,,CL7,WhatsApp «monjas pastorcillos» → H. Angustias,,
T58,2025-12-28,income,5,Ventas,Litofanía papá Carlito (foto 1),,,CL41,historial,,
T59,2025-12-28,income,10,Ventas,Litofanía cuadro y guard,,,CL41,WhatsApp «papá cuadro» (historial 10€ vs resumen 20€; reconciliar),,
T60,2025-12-28,income,2.5,Ventas,Litofanía papá Carlito (foto 2),,,CL41,historial,,
T61,2025-12-28,income,2.5,Ventas,Litofanía papá Carlito (foto 3),,,CL41,historial,,
T62,2025-12-30,income,24,Ventas,Elefantes,,,CL23,WhatsApp «Rocío elefantes»,,
T63,2026-01-04,income,30,Ventas,Caja Stranger Things,,,CL25,WhatsApp 10€+15€ dos lineas Stranger; historial 30€ caja,,
T64,2026-01-04,income,80,Ventas,Lapiceros,,,CL7,WhatsApp monjas lapiceros 110€; historial 80€,,
T65,2026-01-04,income,30,Ventas,Escudos iglesia,,,,Hermandad o intermediario penitentes por confirmar,,
T66,2026-01-06,income,0.5,Ventas,Posavasos Iron Man,,,CL47,historial + cliente Juan Angel,,
