id,date,type,amount,category,concept,ref_type,ref_id,client_id,notes,archived,deleted
T1,2024-06-17,expense,-3.59,consumable,AliExpress 3037030132869173 consumable purchase,,,,INV46 Imanes; 50 pcs (10X2MM-50pcs listing).,,
T2,2025-07-16,expense,-91.60,filament,Bambu Lab EN621977128061792257,,,,Solo stock; carbón y carrete excluidos; coste repartido.,,
T3,2025-07-16,expense,-5.89,filament,AliExpress 3057910065209173 filament purchase,,,,INV30 GLOW PLA Transparente 250g ERYONE.,,
T4,2025-07-16,expense,-5.59,filament,AliExpress 3057910065229173 filament purchase,,,,INV31 Tricolor PLA 250g.,,
T5,2025-07-29,expense,-44.44,other,Bambu Lab EN626717856483364865 consumibles (stock),,,,,,
T6,2025-08-02,expense,-3.97,equipment,AliExpress 3058540935529173 equipment purchase,,,,INV75 Cama A1 mini Juupine.,,
T7,2025-10-06,expense,-8.69,filament,AliExpress 3061915644259173 filament purchase,,,,INV36 Negro TPU 250g.,,
T8,2025-10-12,expense,-4.54,filament,AliExpress 3062062255429173 filament purchase,,,,INV25 Eryone PLA Metal ultra silk 200g.,,
T9,2025-10-12,expense,-1.54,consumable,AliExpress 3062062255509173 consumable purchase,,,,INV56 Rodamientos 608; 10 bearings (1 kit ×10).,,
T10,2025-10-20,expense,-9.81,consumable,AliExpress 3062694934469173 consumable purchase,,,,INV51 Luz redondo enchufe; Bambu LED lamp kit ×4 (no shell).,,
T11,2025-10-23,expense,-12.84,equipment,AliExpress 3062828218169173 equipment purchase,,,,INV75 Cama A1 mini; 2 PEI variants split cost €6.27+€6.57.,,
T12,2025-10-28,expense,-162.75,filament,Bambu Lab EN659621555221532673,,,,,,
T13,2025-11-01,expense,-3.53,consumable,AliExpress 3062996017889173 consumable purchase,,,,INV47 Llaveros ondulados; 150 pcs (3×50).,,
T14,2025-11-18,expense,-4.18,consumable,AliExpress 3064304833959173 consumable purchase,,,,INV56 Rodamientos 608; 30 bearings (3 kits ×10).,,
T15,2025-11-20,expense,-19.88,consumable,AliExpress 3064462199279173 consumable purchase,,,,INV55 Luz lithopane; 8 units (2 kits ×4).,,
T16,2025-12-23,expense,-1.5,consumable,AliExpress 3066657835409173 consumable purchase,,,,INV82 silicona Limpia boquilla; 3 brushes €1.50.,,
T17,2026-01-03,expense,-19.39,filament,Amazon 171-7279516-0449946 eSUN PLA cool white + black 2×1kg,,,,Equal split €19.39/2 → €9.70 + €9.69; INV4 + INV27.,,
T18,2026-01-12,expense,-16.99,filament,Amazon 171-5937624-9847523 DEEPLEE Basic PLA beige 1kg,,,,INV6 Deeplee PLA Beige.,,
T19,2026-01-21,expense,-11.05,filament,Amazon 171-4199082-6856346 eSUN PLA blue 1kg,,,,INV18 Esun PLA Azul Eléctrico.,,
T20,2026-01-21,expense,-6.96,consumable,AliExpress 3067575142379173 consumable purchase,,,,INV46 Imanes; 120 pcs (2×60/bag; same SKU as T37,listing had 50pcs).,
T21,2026-01-21,expense,-1.99,equipment,AliExpress 3067575142399173 equipment purchase,,,,INV43 Alicates rojos.,,
T22,2026-01-22,expense,-17.99,filament,Amazon 171-7563449-9206713 DEEPLEE Silk PLA gold 1kg,,,,INV10 Deeplee PLA Oro.,,
T23,2026-01-24,expense,-7.25,consumable,AliExpress 3067692900579173 consumable purchase,,,,INV46 Imanes; 100 pcs (10x2mm-100pcs listing).,,
T24,2026-01-24,expense,-10.37,equipment,AliExpress 3067692900619173 equipment purchase,,,,INV75 Cama A1 mini; 2 sheets.,,
T25,2026-01-24,expense,-8.56,filament,AliExpress 3067692900639173 filament purchase,,,,INV29 GLOW PLA Rosa brillante; 200g luminous purple.,,
T26,2026-01-26,expense,-11.72,filament,Amazon 403-7998514-2306746 eSUN PLA rojo oscuro 1kg,,,,Order €29.71; OVERTURE PLA+ Wine €17.99 omitted (no inventory match).,,
T27,2026-01-31,expense,-1.59,equipment,AliExpress 3068164831209173 equipment purchase,,,,INV79 LED impresora.,,
T28,2026-01-31,expense,-1.19,consumable,AliExpress 3068164831229173 consumable purchase,,,,INV44 Pines imperdible; 50 pcs.,,
T29,2026-01-31,expense,-1.79,consumable,AliExpress 3068164831249173 consumable purchase,,,,INV67 Calcetines A1 mi; 5× black silicone socks A1 mini.,,
T30,2026-02-06,expense,-0.89,consumable,AliExpress 3068557733529173 consumable purchase,,,,INV49 Pendientes; 100 pcs bag.,,
T31,2026-02-06,expense,-2.18,consumable,AliExpress 3068557733549173 consumable purchase,,,,INV44 Pines imperdible; 100 pcs (2×50).,,
T32,2026-02-06,expense,-3.24,consumable,AliExpress 3068280339879173 consumable purchase,,,,INV45 Pines broche; 100 units.,,
T33,2026-02-06,expense,-7.56,consumable,AliExpress 3068280339859173 consumable purchase,,,,INV47 Llaveros ondulados; 50 pcs bag.,,
T34,2026-02-08,expense,-18.99,filament,Amazon 171-4060094-2323550 SUNLU PLA+ bone white 1kg,,,,INV5 Sunlu PLA Blanco hueso.,,
T35,2026-02-08,expense,-3.71,consumable,AliExpress 3068579559619173 consumable purchase,,,,INV44 Pines imperdible; 200 pcs (4×50).,,
T36,2026-02-09,expense,-60.79,filament,Bambu Lab EN697429791806943233,,,,,,
T37,2026-02-12,expense,-17.78,filament,Amazon 404-1226522-6181100 eSUN PLA blanco frío + negro 2×1kg,,,,Equal split €17.78/2=€8.89 → INV4 + INV27.,,
T38,2026-02-13,expense,-3.05,consumable,AliExpress 3068799238439173 consumable purchase,,,,INV44 Pines imperdible; 150 pcs (3×50).,,
T39,2026-02-13,expense,-1.07,equipment,AliExpress 3068799238459173 equipment purchase,,,,INV77 Imanes Letras.,,
T40,2026-02-13,expense,-7.01,consumable,AliExpress 3068799238419173 consumable purchase,,,,INV46 Imanes; 100 pcs (10x2mm-100pcs).,,
T41,2026-02-14,expense,-17.78,filament,Amazon 404-5683690-9989910 eSUN PLA blanco frío + negro 2×1kg,,,,Equal split €17.78/2=€8.89 → INV4 + INV27.,,
T42,2026-02-24,expense,-24.14,filament,Amazon 404-7767502-0276330 ERYONE PLA dark purple 1kg,,,,INV19 Eryone PLA Morado; order line total €24.14 (single line item).,,
T43,2026-02-26,expense,-13.7,consumable,AliExpress 3069329642849173 consumable purchase,,,,INV46 Imanes; 240 pcs (4×60/bag; listing 10x2mm-60pcs).,,
T44,2026-02-26,expense,-4.48,consumable,AliExpress 3069329642869173 consumable purchase,,,,INV44 Pines imperdible; 250 pcs (5×50).,,
T45,2026-03-02,expense,-3.87,consumable,AliExpress 3069629331829173 consumable purchase,,,,INV60 Bolsitas plastico; 300 pcs (3×100/unids lote).,,
T46,2026-03-10,expense,-15.19,filament,Amazon 408-7622658-6808312 eSUN PLA rojo oscuro 1kg,,,,INV15 Esun PLA Granate.,,
T47,2026-03-13,expense,-45.69,other,Bambu Lab EN709032708152111105 filamento y accesorios (stock),,,,,,
T48,2026-03-14,expense,-7.98,equipment,AliExpress 3070475916529173 equipment purchase,,,,INV76 Cama P2S; PEI 257×257 build plate.,,
T49,2026-03-17,expense,-26.99,consumable,Amazon 171-9644306-9990702 VidaRosa UV resin kit 200g,,,,€26.99 split 50/50 on 2×INV39; INV38 kit at €0 cost (no lot—adjust qty manually if needed).,,
T50,2026-03-18,expense,-6.99,consumable,Amazon 404-2405164-6189141 KRAFTPROTZ 3D gel glue 50g,,,,INV40 Pegamento PLA; 1 pack tracked as 1 unit.,,
T51,2026-03-18,expense,-14.24,filament,Amazon 404-2269801-2844314 SUNLU HS-PLA black 1kg,,,,Order total €33.23; DEEPLEE Verde Prado line omitted (no inventory match).,,
T52,2026-03-22,expense,-23.99,filament,Amazon 404-9943115-3093101 ERYONE PLA dark green 1kg,,,,INV20 Eryone PLA Verde.,,
T53,2026-03-22,expense,-24.99,filament,Amazon 404-4781807-6677108 ERYONE PLA dark purple 1kg,,,,INV19 Eryone PLA Morado.,,
T54,2026-03-22,expense,-23.30,filament,Amazon 171-5572551-4243562 eSUN PLA 2×1kg black,,,,Equal split €23.30/2=€11.65 per spool → two INV27 lots 1000g each.,,
T55,2026-03-29,expense,-9.99,filament,Amazon 171-0082623-1388300 WINKLE Silk PLA gold 300g,,,,INV11 Wincle PLA Oro oscuro.,,
T56,2026-04-01,expense,-221.47,equipment,Amazon 171-4497485-2433100 Greencell UPS 2000VA,,,,INV80; second 2000VA unit (English listing).,,
T57,2026-04-03,expense,-9.99,filament,Amazon 171-7523779-5091563 WINKLE Silk PLA gold 300g,,,,INV11 Wincle PLA Oro oscuro.,,
T58,2026-04-06,expense,-219.21,equipment,Amazon 171-3115373-4913900 Green Cell SAI 2000VA,,,,INV80 SAI Green Cell 2000VA.,,
