id,client_id,description,status,price,board_order,created_at,archived,deleted
J1,CL1,Phone case prototype,draft,,,2025-02-01T10:00:00.000Z,,
J2,CL2,Replacement gear,in_progress,,,2025-02-02T11:00:00.000Z,,
J3,CL3,Desk organizer,delivered,,,__DAYS_AGO_20__,,
J4,CL1,Old paid job,paid,,,__DAYS_AGO_10__,,
J5,CL1,Recent paid job,paid,,,__DAYS_AGO_2__,,
J6,CL2,Old cancelled job,cancelled,,,__DAYS_AGO_10__,,
J7,CL3,Recent cancelled job,cancelled,,,__DAYS_AGO_1__,,
J8,CL1,Cancelled 1,cancelled,,,__DAYS_AGO_1__,,
J9,CL1,Cancelled 2,cancelled,,,__DAYS_AGO_1__,,
J10,CL1,Cancelled 3,cancelled,,,__DAYS_AGO_1__,,
J11,CL1,Cancelled 4,cancelled,,,__DAYS_AGO_1__,,
J12,CL1,Cancelled 5,cancelled,,,__DAYS_AGO_1__,,
J13,CL1,Cancelled 6,cancelled,,,__DAYS_AGO_1__,,
J14,CL1,Cancelled 7,cancelled,,,__DAYS_AGO_1__,,
J15,CL1,Cancelled 8,cancelled,,,__DAYS_AGO_1__,,
J16,CL1,Cancelled 9,cancelled,,,__DAYS_AGO_1__,,
J17,CL1,Cancelled 10,cancelled,,,__DAYS_AGO_1__,,
J18,CL1,Cancelled 11,cancelled,,,__DAYS_AGO_1__,,
J19,CL1,Cancelled 12,cancelled,,,__DAYS_AGO_1__,,
J20,CL1,Cancelled 13,cancelled,,,__DAYS_AGO_1__,,
